name,team,school,address,latitude,longitude
"Johnson, Tyler (FA)",Brooklyn Nets,California State University-Fresno,5241 N Maple Ave Fresno CA 93740,36.8108284,-36.8108284
"Watson, Paul (TW)",Toronto Raptors,California State University-Fresno,5241 N Maple Ave Fresno CA 93740,36.8108284,-36.8108284
"George, Paul",Los Angeles Clippers,California State University-Fresno,5241 N Maple Ave Fresno CA 93740,36.8108284,-36.8108284
"Watanabe, Yuta (TW)",Memphis Grizzlies,George Washington University,2121 I Street  NW Washington DC 20052,38.9009637,-38.9009637
"Porter, Otto",Chicago Bulls,Georgetown University,37th and O St NW Washington DC 20057,38.9076192,-38.9076192
"Green, Jeff (FA)",Houston Rockets,Georgetown University,37th and O St NW Washington DC 20057,38.9076192,-38.9076192
"Claxton, Nicolas ",Brooklyn Nets,University of Georgia,Administration Building Athens GA 30602,33.9562553,-33.9562553
"Bitadze, Goga",Indiana Pacers,University of Georgia,Administration Building Athens GA 30602,33.9562553,-33.9562553
"Caldwell-Pope, Kentavious",Los Angeles Lakers,University of Georgia,Administration Building Athens GA 30602,33.9562553,-33.9562553
"Young, Thaddeus",Chicago Bulls,Georgia Institute of Technology-Main Campus,225 North Ave Atlanta GA 30332,33.7724173,-33.7724173
"Okogie, Josh",Minnesota Timberwolves,Georgia Institute of Technology-Main Campus,225 North Ave Atlanta GA 30332,33.7724173,-33.7724173
"Favors, Derrick",New Orleans Pelicans,Georgia Institute of Technology-Main Campus,225 North Ave Atlanta GA 30332,33.7724173,-33.7724173
"Sabonis, Domantas",Indiana Pacers,Gonzaga University,E 502 Boone Ave Spokane WA 99258,47.6664473,-47.6664473
"Olynyk, Kelly",Miami Heat,Gonzaga University,E 502 Boone Ave Spokane WA 99258,47.6664473,-47.6664473
"Hachimura, Rui",Washington Wizards,Gonzaga University,E 502 Boone Ave Spokane WA 99258,47.6664473,-47.6664473
"Collins, Zach",Portland Trail Blazers,Gonzaga University,E 502 Boone Ave Spokane WA 99258,47.6664473,-47.6664473
"Williams-Goss, Nigel",Utah Jazz,Gonzaga University,E 502 Boone Ave Spokane WA 99258,47.6664473,-47.6664473
"Clarke, Brandon",Memphis Grizzlies,Gonzaga University,E 502 Boone Ave Spokane WA 99258,47.6664473,-47.6664473
"McKinnie, Alfonzo",Cleveland Cavaliers,University of Wisconsin-Green Bay,2420 Nicolet Dr Green Bay WI 54311,44.532204,-44.532204
"Wright-Foreman, Justin (TW, FA)",Utah Jazz,Hofstra University,100 Hofstra University Hempstead NY 11549,40.7166872,-40.7166872
"Miller, Malcolm",Toronto Raptors,College of the Holy Cross,One College Street Worcester MA 1610,42.2392391,-42.2392391
"Dotson, Damyean (FA)",New York Knicks,University of Houston,212 E. Cullen Building Houston TX 77204,29.7203176,-29.7203176
"Leonard, Meyers",Miami Heat,University of Illinois at Urbana-Champaign,601 E John Street Champaign IL 61820,40.1088318,-40.1088318
"Langford, Romeo ",Boston Celtics,Indiana University-Bloomington,107 South Indiana Ave. Bloomington IN 47405,39.166111,-39.166111
"Anunoby, OG",Toronto Raptors,Indiana University-Bloomington,107 South Indiana Ave. Bloomington IN 47405,39.166111,-39.166111
"Oladipo, Victor",Indiana Pacers,Indiana University-Bloomington,107 South Indiana Ave. Bloomington IN 47405,39.166111,-39.166111
"Zeller, Cody",Charlotte Hornets,Indiana University-Bloomington,107 South Indiana Ave. Bloomington IN 47405,39.166111,-39.166111
