Name,Address,Latitude,Longitude
Western Connecticut State University,181 White Street Danbury CT 6810,41.400054,-73.446533
SUNY College at Plattsburgh,101 Broad Street Plattsburgh NY 12901,44.6930943,-73.4666928
SUNY College at Old Westbury,223 Store Hill Rd Old Westbury NY 11568,40.7803282,-73.5780328
Nassau Community College,One Education Dr Garden City NY 11530,40.7290406,-73.5940133
Hofstra University,100 Hofstra University Hempstead NY 11549,40.7166872,-73.5993965
LIU Post,720 Northern Blvd Brookville NY 11548,40.8174969,-73.6052653
New York Institute of Technology,Northern Blvd Old Westbury NY 11568,40.8143914,-73.6118895
Molloy College,1000 Hempstead Ave Rockville Centre NY 11571,40.6849156,-73.6270373
Webb Institute,298 Crescent Beach Rd Glen Cove NY 11542,40.8831348,-73.6434523
Adelphi University,South Ave Garden City NY 11530,40.7227969,-73.6546849
Adirondack Community College,640 Bay Rd Queensbury NY 12804,43.354045,-73.655031
Rensselaer Polytechnic Institute,110 8th St Troy NY 12180,42.729185,-73.6790385
Hudson Valley Community College,80 Vandenburgh Ave Troy NY 12180,42.6958354,-73.6823164
The Sage Colleges,65 1st Street Troy NY 12180,42.7272267,-73.6942256
SUNY at Purchase College,735 Anderson Hill Rd Purchase NY 10577,41.0388731,-73.6963296
Manhattanville College,2900 Purchase St Purchase NY 10577,41.0334555,-73.7168927
Siena College,515 Loudon Rd Loudonville NY 12211,42.716635,-73.7523365
CUNY Queensborough Community College,222-05 56th Avenue Bayside NY 11364,40.7554985,-73.7565195
United States Merchant Marine Academy,300 Steamboat Rd Kings Point NY 11024,40.8127699,-73.7588596
Albany College of Pharmacy and Health Sciences,106 New Scotland Avenue Albany NY 12208,42.6519665,-73.778582
Skidmore College,815 N Broadway Saratoga Springs NY 12866,43.0970833,-73.7852912
The College of Saint Rose,432 Western Ave Albany NY 12203,42.6640071,-73.785568
Iona College,715 North Ave New Rochelle NY 10801,40.9271278,-73.7864435
SUNY Westchester Community College,75 Grasslands Road Valhalla NY 10595,41.0686223,-73.7905546
St John's University-New York,8000 Utopia Pky Queens NY 11439,40.7247555,-73.7923154
CUNY York College,94-20 Guy R. Brewer Blvd Jamaica NY 11451,40.7022966,-73.7960148
SUNY Maritime College,6 Pennyfield Avenue Throggs Neck NY 10465,40.8092024,-73.8010583
Bryant & Stratton College-Albany,1259 Central Ave Albany NY 12205,42.6982085,-73.8098331
Columbia-Greene Community College,4400 Route 23 Hudson NY 12534,42.2176687,-73.8176451
CUNY Queens College,65-30 Kissena Blvd Queens NY 11367,40.7382488,-73.8194845
Concordia College-New York,171 White Plains Rd Bronxville NY 10708,40.9437539,-73.8199427
SUNY at Albany,1400 Washington Avenue Albany NY 12222,42.6895995,-73.8203027
Sarah Lawrence College,1 Mead Way Bronxville NY 10708,40.9342586,-73.8468915
Mercy College,555 Broadway Dobbs Ferry NY 10522,41.0222142,-73.873515
