count,school,address,latitude,longitude
3,University of Memphis,Southern Avenue Memphis TN 38152,35.1158539,-35.1158539
3,Kansas State University,919 Mid-Campus Drive  Anderson Hall Manhattan KS 66506,39.1886244,-96.5810747
3,Baylor University,500 Speight Ave. Waco TX 76798,31.5447753,-97.1182662
3,Purdue University-Main Campus,Hovde Hall of Administration West Lafayette IN 47907,40.4282112,-86.9143951
3,University of Georgia,Administration Building Athens GA 30602,33.9562553,-83.3740399
3,The University of Alabama,739 University Blvd Tuscaloosa AL 35487,33.2096093,-87.5466476
3,Vanderbilt University,2101 West End Avenue Nashville TN 37240,36.1490297,-36.1490297
3,University of South Carolina-Columbia,Columbia-Campus Columbia SC 29208,33.9937575,-33.9937575
3,University of Georgia,Administration Building Athens GA 30602,33.9562553,-33.9562553
3,Saint Joseph's University,5600 City Avenue Philadelphia PA 19131,39.995634,-39.995634
3,Arizona State University-Tempe,University Drive and Mill Avenue Tempe AZ 85287,33.4219437,-111.9400636
3,University of Arkansas,Administration Bldg 425 Fayetteville AR 72701,36.0699572,-36.0699572
3,University of Nevada-Reno,North Virginia Street Reno NV 89557,39.5438691,-39.5438691
3,California State University-Fresno,5241 N Maple Ave Fresno CA 93740,36.8108284,-36.8108284
3,University of Oklahoma-Norman Campus,660 Parrington Oval Norman OK 73019,35.2085041,-35.2085041
3,Vanderbilt University,2101 West End Avenue Nashville TN 37240,36.1490297,-86.802263
3,Saint Joseph's University,5600 City Avenue Philadelphia PA 19131,39.995634,-75.2406137
3,Southern Methodist University,6425 Boaz St Dallas TX 75275,32.8449511,-32.8449511
3,University of Arkansas,Administration Bldg 425 Fayetteville AR 72701,36.0699572,-94.1769533
3,University of Miami,University of Miami Coral Gables FL 33146,25.7178924,-80.2746368
3,St John's University-New York,8000 Utopia Pky Queens NY 11439,40.7247555,-40.7247555
3,University of Miami,University of Miami Coral Gables FL 33146,25.7178924,-25.7178924
3,The University of Alabama,739 University Blvd Tuscaloosa AL 35487,33.2096093,-33.2096093
3,University of Utah,201 Presidents Circle  ROOM 201 Salt Lake City UT 84112,40.7650458,-40.7650458
3,Purdue University-Main Campus,Hovde Hall of Administration West Lafayette IN 47907,40.4282112,-40.4282112
3,Georgia Institute of Technology-Main Campus,225 North Ave Atlanta GA 30332,33.7724173,-84.3947916
3,Baylor University,500 Speight Ave. Waco TX 76798,31.5447753,-31.5447753
2,DePaul University,1 E Jackson Blvd Chicago IL 60604,41.8781342,-87.6271172
2,Tulane University of Louisiana,6823 St. Charles Avenue New Orleans LA 70118,29.9354099,-29.9354099
2,University of Cincinnati-Main Campus,2624 Clifton Avenue Cincinnati OH 45221,39.1343961,-84.5184317
2,Virginia Commonwealth University,910 W Franklin St Richmond VA 23284,37.5496312,-37.5496312
2,Butler University,4600 Sunset Ave Indianapolis IN 46208,39.8381669,-39.8381669
2,San Diego State University,5500 Campanile Dr San Diego CA 92182,32.7720012,-117.0726966
2,Butler University,4600 Sunset Ave Indianapolis IN 46208,39.8381669,-86.1705391
2,University of Iowa,101 Jessup Hall Iowa City IA 52242,41.661897,-91.5364924
2,University of Cincinnati-Main Campus,2624 Clifton Avenue Cincinnati OH 45221,39.1343961,-39.1343961
2,University of Notre Dame,400 Main Building Notre Dame IN 46556,41.703084,-41.703084
2,University of Pittsburgh-Pittsburgh Campus,4200 Fifth Avenue Pittsburgh PA 15260,40.44439,-40.44439
2,North Carolina State University at Raleigh,2101 Hillsborough Street Raleigh NC 27695,35.7863971,-78.6631364
2,University of Wyoming,1000 E University Ave. Laramie WY 82071,41.3140214,-105.5846008
2,Wichita State University,1845 N. Fairmount Wichita KS 67260,37.716465,-97.2955956
2,College of Charleston,66 George St Charleston SC 29424,32.7834631,-32.7834631
2,Oregon State University,1500 SW Jefferson Avenue Corvallis OR 97331,44.5639127,-44.5639127
2,Saint Mary's College of California,1928 Saint Marys Road Moraga CA 94575,37.8414569,-37.8414569
2,North Carolina State University at Raleigh,2101 Hillsborough Street Raleigh NC 27695,35.7863971,-35.7863971
2,Wichita State University,1845 N. Fairmount Wichita KS 67260,37.716465,-37.716465
2,DePaul University,1 E Jackson Blvd Chicago IL 60604,41.8781342,-41.8781342
2,Murray State University,218 Wells Hall Murray KY 42071,36.6163842,-88.3214979
2,University of Pittsburgh-Pittsburgh Campus,4200 Fifth Avenue Pittsburgh PA 15260,40.44439,-79.9534133
